context,question,answer,answer_start,answer_end
architecturally the school has a catholic character. atop the main building school dome is the golden statue of the virgin mary. immediately in front of the main building in facing it is a copper statue of christ with arms appraised with the legend and the bad meow names. next to the main building is the basilica of the sacred heart. immediately behind the basilica is the grotto im mary in place of prayer and reflection. it is a replica of the grotto at lourdes france where the virgin mary reputedly appeared to st bernadette still burning eighteen fifty eight. at the end of the main drive and in a direct line that connects through three statues in the gold dome is as simple modern stone statue of mary.,What is in front of the Notre Dame Main Building?,a copper statue of christ,187,212
architecturally the school has a catholic character. atop the main building school dome is the golden statue of the virgin mary. immediately in front of the main building in facing it is a copper statue of christ with arms appraised with the legend and the bad meow names. next to the main building is the basilica of the sacred heart. immediately behind the basilica is the grotto im mary in place of prayer and reflection. it is a replica of the grotto at lourdes france where the virgin mary reputedly appeared to st bernadette still burning eighteen fifty eight. at the end of the main drive and in a direct line that connects through three statues in the gold dome is as simple modern stone statue of mary.,The Basilica of the Sacred heart at Notre Dame is beside to which structure?,the main building,58,75
as in most other universities notre dame students write a number of news media outlets. the nine stand and run out lets include three newspapers but the radio and television station in several magazines and journals. he gonna sell one page journal in september eighteen seventy six the scholastic magazine is issued twice monthly in claims to be the oldest continuous collegiate publication in the united states. the other magazine the juggler is released twice a year and focuses on student literature and art for. they dont hear book is published annually. the newspapers have varying publication interests with the observer published daily and mainly reporting university in other news and staffed by students from both notre dame and st marys college. unlike scholastic in the dome the observer is an independent publications and does not have the faculty advisor or any editorial oversight from the university. in nineteen eighty seven when some students believe that the observer began to shelly conservative bias liberal newspaper common sense was published. likewise in ten thousand three when other students believe that the papers showed a liberal bias the conservative paper irish rover went into production. neither papers published as often as the observer however all three are distributed to all students. finally in spring two thousand eight an undergraduate journal for political science research beyond politics made its debut.,How often is Notre Dame's the Juggler published?,twice,316,321
as in most other universities notre dame students write a number of news media outlets. the nine stand and run out lets include three newspapers but the radio and television station in several magazines and journals. he gonna sell one page journal in september eighteen seventy six the scholastic magazine is issued twice monthly in claims to be the oldest continuous collegiate publication in the united states. the other magazine the juggler is released twice a year and focuses on student literature and art for. they dont hear book is published annually. the newspapers have varying publication interests with the observer published daily and mainly reporting university in other news and staffed by students from both notre dame and st marys college. unlike scholastic in the dome the observer is an independent publications and does not have the faculty advisor or any editorial oversight from the university. in nineteen eighty seven when some students believe that the observer began to shelly conservative bias liberal newspaper common sense was published. likewise in ten thousand three when other students believe that the papers showed a liberal bias the conservative paper irish rover went into production. neither papers published as often as the observer however all three are distributed to all students. finally in spring two thousand eight an undergraduate journal for political science research beyond politics made its debut.,What is the daily student paper at Notre Dame called?,the observer,614,626
as in most other universities notre dame students write a number of news media outlets. the nine stand and run out lets include three newspapers but the radio and television station in several magazines and journals. he gonna sell one page journal in september eighteen seventy six the scholastic magazine is issued twice monthly in claims to be the oldest continuous collegiate publication in the united states. the other magazine the juggler is released twice a year and focuses on student literature and art for. they dont hear book is published annually. the newspapers have varying publication interests with the observer published daily and mainly reporting university in other news and staffed by students from both notre dame and st marys college. unlike scholastic in the dome the observer is an independent publications and does not have the faculty advisor or any editorial oversight from the university. in nineteen eighty seven when some students believe that the observer began to shelly conservative bias liberal newspaper common sense was published. likewise in ten thousand three when other students believe that the papers showed a liberal bias the conservative paper irish rover went into production. neither papers published as often as the observer however all three are distributed to all students. finally in spring two thousand eight an undergraduate journal for political science research beyond politics made its debut.,How many student news papers are found at Notre Dame?,three,128,133
the university is the major seed of the congregation of holy cross albeit not its official headquarters which are in rome. its main seminary morrow seminary is located on the campus across st. joseph lake from the main building. old college the oldest building on campus and located near the shore of st. mary lake house is under graduate seminarians. retired priests and brothers residing fatima house of former retreat center holy cross house as well as columba hall near the grotto. the university through the morose seminary has ties to theologians frederick hitler. well not catholic you care has praised writers from notre dame and morose seminary created a new pair prize for preaching.,Where is the headquarters of the Congregation of the Holy Cross?,rome,117,121
the university is the major seed of the congregation of holy cross albeit not its official headquarters which are in rome. its main seminary morrow seminary is located on the campus across st. joseph lake from the main building. old college the oldest building on campus and located near the shore of st. mary lake house is under graduate seminarians. retired priests and brothers residing fatima house of former retreat center holy cross house as well as columba hall near the grotto. the university through the morose seminary has ties to theologians frederick hitler. well not catholic you care has praised writers from notre dame and morose seminary created a new pair prize for preaching.,What is the oldest structure at Notre Dame?,old college,229,240
the university is the major seed of the congregation of holy cross albeit not its official headquarters which are in rome. its main seminary morrow seminary is located on the campus across st. joseph lake from the main building. old college the oldest building on campus and located near the shore of st. mary lake house is under graduate seminarians. retired priests and brothers residing fatima house of former retreat center holy cross house as well as columba hall near the grotto. the university through the morose seminary has ties to theologians frederick hitler. well not catholic you care has praised writers from notre dame and morose seminary created a new pair prize for preaching.,What individuals live at Fatima House at Notre Dame?,retired priests and brothers,352,380
the college of engineering was established in nineteen twenty however early courses in simple in mechanical engineering were a part of the college of science since the eighteen seventies. today the college housed in the fitzpatrick cursing and stenson remick halls of engineering includes five departments of steady aerospace and mechanical engineering chemical inbio molecular engineering sam college an earring and geological sciences computer science and engineering and electrical engineering with a b s. degrees offered. additionally the college offers five year deal degree programs with the colleges of arts and letters and out business awarding additional b hey. and master of business administration him by degrees respectively.,How many BS level degrees are offered in the College of Engineering at Notre Dame?,eight,168,173
the college of engineering was established in nineteen twenty however early courses in simple in mechanical engineering were a part of the college of science since the eighteen seventies. today the college housed in the fitzpatrick cursing and stenson remick halls of engineering includes five departments of steady aerospace and mechanical engineering chemical inbio molecular engineering sam college an earring and geological sciences computer science and engineering and electrical engineering with a b s. degrees offered. additionally the college offers five year deal degree programs with the colleges of arts and letters and out business awarding additional b hey. and master of business administration him by degrees respectively.,Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,the college of science,135,157
the college of engineering was established in nineteen twenty however early courses in simple in mechanical engineering were a part of the college of science since the eighteen seventies. today the college housed in the fitzpatrick cursing and stenson remick halls of engineering includes five departments of steady aerospace and mechanical engineering chemical inbio molecular engineering sam college an earring and geological sciences computer science and engineering and electrical engineering with a b s. degrees offered. additionally the college offers five year deal degree programs with the colleges of arts and letters and out business awarding additional b hey. and master of business administration him by degrees respectively.,How many departments are within the Stinson-Remick Hall of Engineering?,five,289,293
